Time	Lon	Lat	Hei
  0.0	   9.1	   4.6	   0.0
  1.0	   9.1	   4.6	 322.7
  1.0	   9.1	   3.3	 322.7
  3.0	   7.2	   3.3	 322.1
  5.0	   7.2	   2.7	 322.1
  7.0	   7.2	-3483357.8	 321.4
  8.0	   5.6	   1.4	 320.7
  9.0	   5.6	   0.7	 320.7
  9.0	   3.7	   0.7	 320.7
 11.0	   3.7	   0.0	 320.7
 12.0	   1.9	  -0.7	 318.2
 13.0	   0.0	  -1.4	 318.2
 13.0	   0.0	  -2.0	 318.2
 15.0	   0.0	  -2.0	 318.2
 16.0	   0.0	  -2.0	 318.2
 17.0	   0.0	  -2.0	 318.2
 17.0	   0.0	  -2.0	 316.2
 19.0	   0.0	  -2.0	 316.2
 20.0	   0.0	  -2.0	 316.2
127.0	   1.9	   0.0	 316.8
144.0	  -3.5	   4.0	 317.4
256.0	   0.0	   0.7	   0.0
289.0	 -18.0	-3483357.8	   0.0
305.0	 -27.0	   0.7	 326.9
321.0	 -27.0	   0.7	 326.9
337.0	 -27.0	   0.0	 326.9
353.0	 -27.0	   0.7	 326.9
369.0	 -27.0	   0.7	 326.9
385.0	 -27.0	   0.0	 326.9
401.0	 -25.2	  -3.3	 326.9
417.0	 -14.4	  -2.0	 322.2
433.0	  -3.5	  -3.3	 321.1
449.0	   1.9	  -4.0	 320.1
